word,profane,offensive,sexual,mean,evasive
loveslavery,0,2,0,0,1
lowlife,0,1,0,2,0
mailabomb,0,2,0,0,0
maldito,1,0,0,0,0
malnacido,0,0,1,2,0
maricon,0,2,2,0,0
marry me,0,0,1,0,0
marry you,0,0,1,0,0
masacreinhisschool,3,0,0,0,0
masacreinmyschool,3,0,0,0,0
masacremyschool,3,0,0,0,0
masherbate,0,0,2,0,2
masherbating,0,0,2,0,2
massmurderschool,3,0,0,0,0
massmurderaschool,3,0,0,0,0
massmurdermyschool,3,0,0,0,0
masterbate,0,0,2,0,0
masterbating,0,0,2,0,0
mastherbate,0,0,2,0,2
mastherbating,0,0,2,0,2
masterhbate,0,0,2,0,2
masterhbating,0,0,2,0,2
masturbate,0,0,2,0,0
masturbating,0,0,2,0,0
mdrfkr,2,2,2,0,2
meatbeating,0,0,2,0,1
merda,2,0,0,0,0
merde,1,0,0,0,0
mierda,2,0,0,0,0
migga,2,3,0,0,2
miger,2,5,0,0,2
mikeock,2,0,2,1,2
milf,0,0,2,0,0
milkyourmother,0,0,1,2,0
minge,0,0,3,0,1
moron,0,0,0,2,0
motherfk,2,1,2,0,1
motherfuck,2,1,2,0,0
motherfucker,2,2,2,0,0
motherfuk,2,1,2,0,1
muff,0,0,3,0,0
murderschool,3,0,0,0,0
murderstudent,3,0,0,0,0
murderaschool,3,0,0,0,0
murdermyschool,3,0,0,0,0
mykock,2,0,2,1,2
mydik,2,0,2,1,2
my nut,0,0,2,0,1
naked,0,0,2,0,0
naughty,0,0,1,0,0
n word,1,1,0,0,1
naegar,3,5,0,0,2
naeger,3,5,0,0,2
naegur,3,5,0,0,2
natsee,0,2,0,0,2
national socialist,0,0,0,0,1
natsoc,0,1,0,0,1
natzi,0,2,0,0,1
naygar,3,5,0,0,2
nayger,3,5,0,0,2
naygur,3,5,0,0,2
nazi,0,2,0,0,0
nazis,0,2,0,0,0
nazy,0,2,0,0,2
neger,3,5,0,0,2
negr,3,5,0,0,2
negros,0,1,0,0,0
nerd,0,0,0,1,0
nga,2,3,0,0,2
ngga,2,3,0,0,2
ngger,3,5,0,0,2
ngiger,3,5,0,0,3
nicca,2,3,0,0,1
nicger,3,5,0,0,2
nickger,3,5,0,0,2
nickgur,3,5,0,0,2
nickher,3,5,0,0,2
nickker,3,5,0,0,2
nig,2,3,0,0,0
nigg,2,3,0,0,0
nigga,2,3,0,0,0
niger,3,5,0,0,0
nigler,2,2,0,0,2
niglet,0,2,0,0,2
niguh,2,3,0,0,2
nigr,2,3,0,0,2
nigs,2,3,0,0,1
nippas,2,3,0,0,2
nipple,0,0,1,0,0
nips,0,0,2,0,0
niqq,2,3,0,0,2
niqr,2,3,0,0,2
nmsl,0,1,0,2,2
nolife,0,0,0,2,0
nood,0,0,2,0,2
nsdap,0,2,0,0,1
nude,0,0,3,0,0
nudes,0,0,3,0,0
nuger,2,3,0,1,1
nutcase,0,0,0,1,0
nut in all of u,0,0,3,0,1
nut in all of you,0,0,3,0,0
nut in u,0,0,3,0,1
nut in you,0,0,3,0,0
nutjob,0,0,0,1,0
nuzi,0,2,0,0,2
nyger,3,5,0,0,3
nygga,2,3,0,0,3
nziger,3,5,0,0,3
oralsex,0,0,3,0,0
orgasm,0,0,2,0,0
osama,0,1,0,0,0
osamabin,0,1,0,0,0
osamabinladen,0,1,0,0,0
peanis,1,0,3,0,1
peanus,1,0,3,0,1
penetrator,0,0,1,0,0
pendejo,0,0,0,1,0
penile,0,0,3,0,0
penis,1,0,3,0,0
penus,1,0,3,0,0
pecker,1,0,0,0,1
pecorina,0,0,2,0,0
pedo,0,0,1,0,0
pedophile,0,0,2,0,0
petasse,1,0,2,2,0
peepee,2,0,2,0,0
phalus,1,0,3,0,2
phuc,2,0,2,0,1
phuk,2,0,2,0,1
pieceofgarbage,0,0,0,1,0
pieceofshit,1,0,0,1,0
pinus,1,0,3,0,0
piss,1,0,0,0,0
pompinara,1,0,2,1,0
pompino,1,0,2,0,0
poo,1,0,0,0,0
poop,1,0,0,0,0
poopy,1,0,0,0,0
porn,0,0,3,0,0
pornhub,0,0,3,0,0
pornographic,0,0,2,0,0
pornography,0,0,3,0,0
pornos,0,0,3,0,0
poonani,0,0,3,0,2
poonany,0,0,3,0,2
poosy,0,2,2,2,2
poufiase,0,2,2,0,0
pp,0,0,2,0,0
pps,0,0,2,0,0
pregnant,0,0,2,0,0
prepubescent,0,0,3,0,0
prick,2,0,0,1,0
privatepart,0,0,2,0,1
pron,0,0,3,0,2
pronhub,0,0,3,0,2
prostitut,0,0,3,0,0
prnhub,0,0,3,0,2
pssy,0,2,2,2,2
pube,0,0,3,0,0
pubescent,0,0,3,0,0
punani,0,0,3,0,2
punany,0,0,3,0,2
punk,0,0,0,1,0
pusies,0,2,2,2,0
pusy,0,1,1,1,0
pussey,0,2,2,2,1
pussy,0,2,2,2,0
puttana,1,0,1,0,0
puta madre,2,0,1,0,0
eresputa,0,0,2,2,0
queef,0,0,3,0,0
queer,0,3,0,0,0
racism,0,0,0,1,0
racist,0,0,0,2,0
racist little,0,0,0,2,0
rape,0,0,3,0,0
rapist,0,0,2,0,0
rascist,0,0,0,1,1
rascit,0,0,0,1,2
rectum,0,0,2,0,0
recktum,0,0,2,0,2
reggin,2,2,0,0,3
reich,0,1,0,0,0
retard,0,2,0,2,0
retarded,0,2,0,2,0
retared,0,2,0,2,1
retart,0,2,0,2,0
retarted,0,2,0,2,0
rimjob,0,0,3,0,0
s word,1,0,0,0,1
sad clown,0,0,0,1,0
sakemahdic,0,0,3,0,2
sakemahdiq,0,0,3,0,2
sakemydic,0,0,3,0,2
sakemydiq,0,0,3,0,2
salopard,2,3,0,0,0
salope,0,2,2,0,0
schoolshooting,2,0,0,0,0
screwoff,1,0,0,1,1
screwyou,1,0,0,2,0
screwyourself,1,0,0,2,0
scrotum,0,0,3,0,0
scum,0,0,2,2,0
scumbag,0,0,2,2,0
scumy,0,0,2,2,0
secks,0,0,2,0,2
secs,0,0,2,0,2
seex,0,0,2,0,0
semen,0,0,3,0,0
sex,0,0,2,0,0
sexbot,0,0,2,0,0
sexc,0,0,1,0,1
sexmaster,0,0,2,0,0
sext,0,0,2,0,0
sexx,0,0,2,0,0
sexiest,0,0,1,0,0
sexual,0,0,2,0,0
sexy,0,0,1,0,0
shoot school,2,0,0,0,0
shootupschool,3,0,0,0,0
shootupaschool,3,0,0,0,0
shootupmyschool,3,0,0,0,0
shootupaelementaryschool,3,0,0,0,0
shootupanelementaryschool,3,0,0,0,0
shootupamiddleschool,3,0,0,0,0
shootupanmiddleschool,3,0,0,0,0
shootupahighschool,3,0,0,0,0
shootupanhighschool,3,0,0,0,0
shager,0,0,3,0,0
shaging,0,0,3,0,0
shat,1,0,0,0,1
shit,2,0,0,0,0
shiet,2,0,0,0,1
shted,2,0,0,0,1
shited,2,0,0,0,0
shiter,2,0,0,2,0
shithead,2,1,0,2,0
shet,2,0,0,0,2
sht,2,0,0,0,1
shut the f up,1,0,0,2,0
shut it,0,0,0,2,0
shut ut,0,0,0,2,1
shut ur face,0,0,0,2,1
shut your face,0,0,0,2,1
shutup,0,0,0,2,0
shyt,2,0,0,0,2
sick my,0,0,2,0,1
sick your,0,0,2,0,1
siegheil,0,2,0,0,1
sieghail,0,2,0,0,2
sisy,0,0,0,1,0
skank,0,2,3,0,0
slut,0,2,2,0,0
smallD,2,0,2,2,2
small dick,2,0,2,2,0
small dk,2,0,2,2,2
smash woman,0,0,2,0,0
smash women,0,0,2,0,0
smol dk,2,0,2,2,3
sodomize,0,0,3,0,0
sodomy,0,0,3,0,0
spankme,0,0,2,0,1
spastic,0,0,0,2,0
 spic,0,2,0,0,0
spunk,0,0,3,0,0
ssex,0,0,1,0,1
stalin,0,1,0,0,0
stfu,1,0,0,2,0
striper,0,0,2,0,0
stronzo,2,0,1,0,0
sto cazzo,1,0,2,0,0
stupid,0,0,0,1,0
suc my,0,0,3,0,1
succ,0,0,1,1,1
sucs,0,0,1,1,1
suck,0,0,1,1,0
sucker,0,0,0,2,0
sucking my,0,0,3,0,0
sucking me,0,0,3,0,0
sucking your,0,0,3,0,0
sucks,0,0,1,1,0
suckit,0,0,2,2,0
suckme,0,0,3,0,0
suckmy,0,0,3,0,0
suck your,0,0,3,0,0
suhck,0,0,1,1,2
suhckme,0,0,3,0,2
suicidal,1,0,0,0,0
suicide,1,0,0,0,0
suiside,1,0,0,0,1
suk,0,0,1,1,1
sukk,0,0,1,1,1
swatika,0,1,0,0,1
swastika,0,1,0,0,0
swastica,0,1,0,0,1
taketheeasywayout,0,1,0,2,1
tampon,0,0,1,0,0
tapette,0,2,2,0,0
tard,0,1,0,1,1
terrorist,0,1,0,0,0
testes,0,0,3,0,0
testical,0,0,3,0,1
testicle,0,0,3,0,0
that sob,1,0,1,0,0
that mf,1,1,1,0,1
they can die,0,0,0,2,0
thirdreich,0,2,0,0,0
this mf,1,1,1,0,1
threesome,0,0,3,0,0
ticklemypickl,0,0,2,0,1
ticklemypickle,0,0,2,0,1
tickleyourpickl,0,0,2,0,1
tickleyourpickle,0,0,2,0,1
ticklmypickl,0,0,2,0,2
ticklyourpickl,0,0,2,0,2
tiddy,0,0,2,0,1
tidies,0,0,2,0,1
tit,0,0,2,0,0
tits,0,0,2,0,0
titty,0,0,2,0,0
tittie,0,0,2,0,0
tities,0,0,2,0,0
toesinmymouth,0,0,2,0,1
toesinyourmouth,0,0,2,0,1
tohell,1,1,0,2,0
tonto del culo,1,0,0,2,0
tosser,2,0,0,0,0
touchkids,0,0,1,0,0
touched a kid,0,0,1,0,0
touched kids,0,0,1,0,0
touching a kid,0,0,1,0,0
touching kids,0,0,1,0,0
trany,0,2,1,2,1
tu madre,0,0,0,1,0
tuchkids,0,0,1,0,1
turd,1,0,0,0,0
turnedmeon,0,0,2,0,0
turnmeon,0,0,2,0,0
turnsmeon,0,0,2,0,0
tussi,1,1,0,1,0
twat,0,0,3,0,0
twerk,0,0,1,0,0
twerking,0,0,1,0,0
twit,0,0,0,1,0
u mf,2,1,1,2,2
ufuk,2,0,2,0,2
ugly,0,0,0,2,0
uncletom,0,2,0,2,0
underskirt,0,0,2,0,0
unsecks,0,0,2,0,0
unsecs,0,0,2,0,0
unsex,0,0,2,0,0
upyourass,2,0,2,2,0
upyourmom,0,0,3,2,0
urmom,0,0,1,1,0
urmother,0,0,1,1,0
useyourhead,0,0,0,1,0
vafanculo,2,0,2,0,0
vagina,0,0,3,0,0
verga,1,0,1,0,0
vete al demonio,1,0,0,2,0
viagra,0,0,1,0,0
vibrator,0,0,3,0,0
virgin,0,0,1,0,0
vixen,0,1,2,0,0
votre bite,2,0,2,1,0
votre mere,0,0,0,1,0
vulva,0,0,3,0,0
wank,0,0,3,0,0
wanker,0,0,3,0,0
wdnmd,0,2,0,3,2
weaner,0,0,2,0,2
weanie,0,0,2,0,2
weener,0,0,2,0,1
weenie,0,0,2,0,1
whitepower,0,1,0,0,0
whitesonly,0,2,0,0,0
whitesupremacist,0,1,0,0,0
whitesupremacy,0,1,0,0,0
whitetrash,0,2,0,0,0
whore,0,3,3,0,0
wiglestick,1,0,2,0,2
wigga,2,3,0,0,0
wigger,2,3,0,0,0
xrated,0,0,2,0,0
xxx,0,0,2,0,1
xyn tebe,2,0,2,2,0
ya hole,0,0,2,0,2
ya mama,0,0,1,1,1
ya moma,0,0,1,1,1
ya mum,0,0,1,1,2
you are disabled,0,1,0,2,0
you are idiot,0,0,0,2,0
you are weird,0,0,0,2,0
you mf,2,1,1,2,1
you monkey,0,1,0,1,0
youre hole,0,0,2,0,3
youremother,0,0,1,1,1
youre trash,0,0,0,2,0
your hole,0,0,2,0,2
yourmother,0,0,1,1,0
yourmom,0,0,1,1,0
yourmum,0,0,1,1,1
yomama,0,0,0,1,0
yo mum,0,0,0,1,1
zoccola,0,2,2,0,0
zorra,0,1,1,2,0
bnRдb,1,0,0,0,0
cocN xyN,1,0,3,1,0
cyKa,0,2,2,0,0
cyKN,0,2,2,0,0
cyuka,0,2,2,0,0
ebaHыN,2,0,1,0,0
ebaHaя,2,0,1,0,0
ebaHыe,2,0,1,0,0
eбanо,2,0,1,0,0
ebaTb,2,0,1,0,0
Mpaзb,0,0,2,2,0
MyдaK,1,0,0,2,0
NдN Ha xyN,2,0,2,2,0
neдNK,0,2,2,0,0
nNздa,0,1,2,1,0
nNдop,0,2,2,0,0
npocTNTyTka,0,0,2,0,0
nNдopac,0,2,2,0,0
дepbMo,2,0,0,0,0
дpouNTb,0,0,2,0,0
гoBHo,2,0,0,0,0
roMocek,0,0,1,0,0
roMocяTNHa,0,0,1,0,0
TpaxaTb,2,0,1,0,0
wnюxa,0,1,2,0,0
wanaBa,0,1,2,0,0
xyeBo,1,0,0,0,0
xyeTa,1,0,0,0,0
xyecoc,1,0,2,0,0
xyenneT,1,0,2,0,0
xyNno,2,0,1,2,0
ybnюдok,1,0,1,0,0
鸡巴,1,0,3,0,0
天安門,0,0,1,0,0
天安门,0,0,1,0,0
傻逼,2,0,2,0,0
他妈的,2,0,2,0,0
王八蛋,2,3,0,0,0
贱人,0,2,2,0,0
吃个桃,0,0,0,1,0
你妈逼,2,0,2,3,0
操你妈,2,0,2,3,0
傻逼,0,0,0,1,0
脑残,0,0,0,1,0
肛门,2,0,0,0,0
鸡巴,2,0,2,1,0
性交,0,0,2,0,0
贱货,0,2,2,0,0
强奸,0,0,3,0,0
阴道,0,0,3,0,0
色情,0,0,3,0,0
吃翔,0,0,0,2,0
黑鬼,3,5,0,0,0
狗货,1,0,0,0,0
脑瘫,0,1,0,1,0
阴茎,1,0,3,0,0
交配,0,0,1,0,0
贱逼,0,2,2,0,0
碧池,0,2,2,0,0
口交,0,0,3,0,0
射精,0,0,2,0,0
吃屎,1,0,0,2,0
阉割,0,0,2,0,0
智障,0,2,0,2,0
屁眼,2,0,1,2,0
生殖器,0,0,2,0,0
你妈死了,0,0,0,2,0
屄,0,2,2,2,2
精液,0,0,3,0,0
毛子,0,0,0,1,0
草你妈,0,1,0,2,0
鸡鸡,1,0,1,1,0
淫,0,0,1,0,0
小穴,0,2,2,2,0
奶子,0,0,2,0,0
东亚病夫,0,1,0,0,0
自慰,0,0,2,0,0
艹你妈,2,0,2,3,0
法克鱿,2,0,2,3,2
乳房,0,0,2,0,0
杂种,2,3,0,0,0
曹你妈,2,0,2,3,2
睾丸,0,0,3,0,0
屌,1,0,1,1,0
撸管,0,0,2,0,0
马眼,0,0,0,1,0
艹尼马,2,0,0,0,0
已撸,2,0,0,0,0
打飞机,0,0,2,0,0